question,intent,language,source
Please explain potato early blight.,early_blight,English,template_generated_training
What should a farmer know about potato early blight?,early_blight,English,template_generated_training
I need guidance on potato early blight.,early_blight,English,template_generated_training
Could you give advice about potato early blight?,early_blight,English,template_generated_training
Please explain brown target-shaped rings on older potato leaves.,early_blight,English,template_generated_training
What should a farmer know about brown target-shaped rings on older potato leaves?,early_blight,English,template_generated_training
I need guidance on brown target-shaped rings on older potato leaves.,early_blight,English,template_generated_training
Could you give advice about brown target-shaped rings on older potato leaves?,early_blight,English,template_generated_training
Please explain circular dry spots caused by early blight.,early_blight,English,template_generated_training
What should a farmer know about circular dry spots caused by early blight?,early_blight,English,template_generated_training
I need guidance on circular dry spots caused by early blight.,early_blight,English,template_generated_training
Could you give advice about circular dry spots caused by early blight?,early_blight,English,template_generated_training
Please explain signs of early blight in potato plants.,early_blight,English,template_generated_training
What should a farmer know about signs of early blight in potato plants?,early_blight,English,template_generated_training
I need guidance on signs of early blight in potato plants.,early_blight,English,template_generated_training
Could you give advice about signs of early blight in potato plants?,early_blight,English,template_generated_training
Please explain how early blight starts on lower leaves.,early_blight,English,template_generated_training
What should a farmer know about how early blight starts on lower leaves?,early_blight,English,template_generated_training
I need guidance on how early blight starts on lower leaves.,early_blight,English,template_generated_training
Could you give advice about how early blight starts on lower leaves?,early_blight,English,template_generated_training
कृपया आलुको अर्ली ब्लाइट बारे बताइदिनुहोस्।,early_blight,Nepali,template_generated_training
किसानले आलुको अर्ली ब्लाइट सम्बन्धमा के जान्नुपर्छ?,early_blight,Nepali,template_generated_training
मलाई आलुको अर्ली ब्लाइट बारे सल्लाह चाहिन्छ।,early_blight,Nepali,template_generated_training
आलुको अर्ली ब्लाइट सम्बन्धी मार्गदर्शन दिनुहोस्।,early_blight,Nepali,template_generated_training
कृपया पुराना पातमा देखिने गोलाकार खैरो दाग बारे बताइदिनुहोस्।,early_blight,Nepali,template_generated_training
किसानले पुराना पातमा देखिने गोलाकार खैरो दाग सम्बन्धमा के जान्नुपर्छ?,early_blight,Nepali,template_generated_training
मलाई पुराना पातमा देखिने गोलाकार खैरो दाग बारे सल्लाह चाहिन्छ।,early_blight,Nepali,template_generated_training
पुराना पातमा देखिने गोलाकार खैरो दाग सम्बन्धी मार्गदर्शन दिनुहोस्।,early_blight,Nepali,template_generated_training
कृपया अर्ली ब्लाइटका सुरुका लक्षण बारे बताइदिनुहोस्।,early_blight,Nepali,template_generated_training
किसानले अर्ली ब्लाइटका सुरुका लक्षण सम्बन्धमा के जान्नुपर्छ?,early_blight,Nepali,template_generated_training
मलाई अर्ली ब्लाइटका सुरुका लक्षण बारे सल्लाह चाहिन्छ।,early_blight,Nepali,template_generated_training
अर्ली ब्लाइटका सुरुका लक्षण सम्बन्धी मार्गदर्शन दिनुहोस्।,early_blight,Nepali,template_generated_training
कृपया आलुको पातमा घेराजस्तो दाग बारे बताइदिनुहोस्।,early_blight,Nepali,template_generated_training
किसानले आलुको पातमा घेराजस्तो दाग सम्बन्धमा के जान्नुपर्छ?,early_blight,Nepali,template_generated_training
मलाई आलुको पातमा घेराजस्तो दाग बारे सल्लाह चाहिन्छ।,early_blight,Nepali,template_generated_training
आलुको पातमा घेराजस्तो दाग सम्बन्धी मार्गदर्शन दिनुहोस्।,early_blight,Nepali,template_generated_training
कृपया अर्ली ब्लाइट कसरी चिन्ने बारे बताइदिनुहोस्।,early_blight,Nepali,template_generated_training
किसानले अर्ली ब्लाइट कसरी चिन्ने सम्बन्धमा के जान्नुपर्छ?,early_blight,Nepali,template_generated_training
मलाई अर्ली ब्लाइट कसरी चिन्ने बारे सल्लाह चाहिन्छ।,early_blight,Nepali,template_generated_training
अर्ली ब्लाइट कसरी चिन्ने सम्बन्धी मार्गदर्शन दिनुहोस्।,early_blight,Nepali,template_generated_training
Please explain potato late blight.,late_blight,English,template_generated_training
What should a farmer know about potato late blight?,late_blight,English,template_generated_training
I need guidance on potato late blight.,late_blight,English,template_generated_training
Could you give advice about potato late blight?,late_blight,English,template_generated_training
Please explain dark water-soaked patches on potato leaves.,late_blight,English,template_generated_training
What should a farmer know about dark water-soaked patches on potato leaves?,late_blight,English,template_generated_training
I need guidance on dark water-soaked patches on potato leaves.,late_blight,English,template_generated_training
Could you give advice about dark water-soaked patches on potato leaves?,late_blight,English,template_generated_training
Please explain late blight during cool and humid weather.,late_blight,English,template_generated_training
